Fiscal Year,TIF Number,TIF Name,Period,Amount
2014,T-111,105th/Vincennes,Beginning Balance,79281
2014,T-111,105th/Vincennes,Ending Balance,114502
2014,T-073,111th Street/Kedzie Avenue Business District,Beginning Balance,3203993
2014,T-073,111th Street/Kedzie Avenue Business District,Ending Balance,3278114
2014,T-114,119th and Halsted,Beginning Balance,3515651
2014,T-114,119th and Halsted,Ending Balance,4124936
2014,T-125,119th/I-57,Beginning Balance,5745995
2014,T-125,119th/I-57,Ending Balance,4895102
2014,T-010,126th and Torrence,Beginning Balance,1215193
2014,T-010,126th and Torrence,Ending Balance,918519
2014,T-159,134th and Avenue K,Beginning Balance,20593
2014,T-159,134th and Avenue K,Ending Balance,0
2014,T-072,24th/Michigan,Beginning Balance,47636376
2014,T-072,24th/Michigan,Ending Balance,14712197
2014,T-141,26th and King Drive,Beginning Balance,844499
2014,T-141,26th and King Drive,Ending Balance,883109
2014,T-079,35th and Wallace,Beginning Balance,4171495
2014,T-079,35th and Wallace,Ending Balance,4772933
2014,T-001,35th/Halsted,Beginning Balance,20328678
2014,T-001,35th/Halsted,Ending Balance,22985458
2014,T-131,35th/State,Beginning Balance,2616872
2014,T-131,35th/State,Ending Balance,2733347
2014,T-055,43rd/Cottage Grove,Beginning Balance,13231650
2014,T-055,43rd/Cottage Grove,Ending Balance,15261027
2014,T-120,45th/Western Industrial Park Conservation Area,Beginning Balance,451683
2014,T-120,45th/Western Industrial Park Conservation Area,Ending Balance,465867
2014,T-117,47th/Ashland,Beginning Balance,18211472
2014,T-117,47th/Ashland,Ending Balance,15425689
2014,T-121,47th/Halsted,Beginning Balance,14223927
2014,T-121,47th/Halsted,Ending Balance,15030184
2014,T-118,47th/King Drive,Beginning Balance,32716899
2014,T-118,47th/King Drive,Ending Balance,33907239
2014,T-136,47th/State,Beginning Balance,7623132
2014,T-136,47th/State,Ending Balance,8683187
2014,T-004,49th Street/St. Lawrence Avenue,Beginning Balance,2658377
2014,T-004,49th Street/St. Lawrence Avenue,Ending Balance,2837963
2014,T-097,51st/Archer,Beginning Balance,9070431
2014,T-097,51st/Archer,Ending Balance,7771110
2014,T-105,53rd Street,Beginning Balance,1644208
2014,T-105,53rd Street,Ending Balance,1874122
2014,T-005,60th and Western,Beginning Balance,3480258
2014,T-005,60th and Western,Ending Balance,1567441
2014,T-143,63rd/Ashland,Beginning Balance,3245119
2014,T-143,63rd/Ashland,Ending Balance,3598335
2014,T-098,63rd/Pulaski,Beginning Balance,5704684
